2025-09-22 11:55:47,930 | INFO | anomaly_app | Starting the Anomaly Detection Application.
2025-09-22 12:02:53,025 | INFO | anomaly_app | Executing /run-all endpoint with payload: thresholdPercentile=99.999 kValue=15 zScoreThreshold=None lofThreshold=None windowSize=None method='knn'
2025-09-22 12:02:58,981 | INFO | anomaly_app | Session e1459133-eddc-4580-8364-31050f95588b uploaded file: 09_07_2025_10_35_57_RF trip_3.tdms
2025-09-22 12:02:58,981 | INFO | anomaly_app | Reading File: uploads/e1459133-eddc-4580-8364-31050f95588b/09_07_2025_10_35_57_RF trip_3.tdms
2025-09-22 12:03:00,898 | INFO | anomaly_app | Executing /run-all endpoint with payload: thresholdPercentile=99.999 kValue=15 zScoreThreshold=None lofThreshold=None windowSize=None method='knn'
2025-09-22 12:03:00,901 | INFO | anomaly_app | Reading File: uploads/e1459133-eddc-4580-8364-31050f95588b/09_07_2025_10_35_57_RF trip_3.tdms
2025-09-22 12:04:08,548 | INFO | anomaly_app | Anomaly Result: [{'column': 'LS4Q1D REF', 'count': 2}, {'column': 'LS5Q1D RDBK', 'count': 1}, {'column': 'LS6Q1D REF', 'count': 1}, {'column': 'LS7Q1D REF', 'count': 1}, {'column': 'LS8Q1D REF', 'count': 1}, {'column': 'LS8Q1D RDBK', 'count': 2}, {'column': 'LS2Q2F REF', 'count': 1}, {'column': 'LS3Q2F REF', 'count': 2}, {'column': 'LS5Q2F REF', 'count': 2}, {'column': 'LS5Q2F RDBK', 'count': 1}, {'column': 'LS6Q2F RDBK', 'count': 2}, {'column': 'LS7Q2F REF', 'count': 1}, {'column': 'LS7Q2F RDBK', 'count': 2}, {'column': 'LS8Q2F REF', 'count': 2}, {'column': 'LS8Q2F RDBK', 'count': 2}, {'column': 'LS2Q3D REF', 'count': 2}, {'column': 'DP REF', 'count': 2}, {'column': 'SSQ5 REF', 'count': 1}, {'column': 'SPR1', 'count': 2}, {'column': 'SPR2', 'count': 2}, {'column': 'SSSF RDBK', 'count': 1}, {'column': 'SSSD RDBK', 'count': 2}, {'column': 'SPR3', 'count': 2}, {'column': 'SPR4', 'count': 2}, {'column': 'SPR5', 'count': 2}, {'column': 'SPR6', 'count': 2}, {'column': 'RF1 REF', 'count': 2}, {'column': 'RF1 RDBK', 'count': 2}, {'column': 'RF2 RDBK', 'count': 2}, {'column': 'RF4 REF', 'count': 2}, {'column': 'RF4 RDBK', 'count': 2}, {'column': 'RF6 RDBK', 'count': 1}, {'column': 'DCCT', 'count': 2}, {'column': 'SPR7', 'count': 1}, {'column': 'ID BPI Interlock', 'count': 2}, {'column': 'MDR RF Interlock', 'count': 1}]
2025-09-22 12:04:31,271 | INFO | anomaly_app | Session e1459133-eddc-4580-8364-31050f95588b uploaded file: 09_07_2025_10_35_57_RF trip_2.tdms
2025-09-22 12:04:31,271 | INFO | anomaly_app | Reading File: uploads/e1459133-eddc-4580-8364-31050f95588b/09_07_2025_10_35_57_RF trip_2.tdms
2025-09-22 12:04:34,971 | INFO | anomaly_app | Executing /detect-graph endpoint with payload: column_name='LS1Q1D REF' thresholdPercentile=99.999 kValue=15 zScoreThreshold=None windowSize=None lofThreshold=None method='knn'
2025-09-22 12:04:34,973 | INFO | anomaly_app | Reading File: uploads/e1459133-eddc-4580-8364-31050f95588b/09_07_2025_10_35_57_RF trip_2.tdms
